tf,ws,rk,drift,k_sl,rr,sl,tp,n,alpha,z,net,detail
H6,0.618,1.272,align89,2.058,1.0,165.3,165.3,78,-3.03,-0.54,-1070,"{'long': (47, 44.7, 48.8, -4.1), 'short': (31, 48.4, 49.8, -1.4)}"
H3,0.618,1.618,align89,2.058,1.272,112.4,143.0,99,-2.69,-0.54,-1383,"{'long': (65, 36.9, 43.8, -6.9), 'short': (34, 50.0, 44.6, 5.4)}"
H2,0.618,1.272,none,1.618,1.0,70.9,70.9,639,-1.14,-0.58,-3977,"{'long': (351, 48.1, 48.8, -0.7), 'short': (288, 47.9, 49.6, -1.7)}"
H3,0.618,1.618,align89,1.618,1.0,88.3,88.3,100,-3.02,-0.6,-1116,"{'long': (66, 39.4, 49.1, -9.7), 'short': (34, 58.8, 48.9, 9.9)}"
H6,0.618,1.272,none,1.618,1.272,129.9,165.2,155,-3.34,-0.84,-2337,"{'long': (89, 39.3, 43.3, -4.0), 'short': (66, 40.9, 43.4, -2.5)}"
H3,0.618,1.618,none,1.618,1.0,88.3,88.3,193,-3.41,-0.95,-2275,"{'long': (120, 45.8, 49.1, -3.2), 'short': (73, 45.2, 48.9, -3.7)}"
H3,0.618,1.618,none,2.058,1.0,112.4,112.4,186,-3.83,-1.04,-2629,"{'long': (116, 45.7, 49.6, -3.9), 'short': (70, 45.7, 49.5, -3.8)}"
H3,0.618,1.618,align89,2.058,1.0,112.4,112.4,100,-5.53,-1.11,-1813,"{'long': (66, 39.4, 49.6, -10.2), 'short': (34, 52.9, 49.5, 3.5)}"
H6,0.708,1.272,none,2.058,1.272,165.3,210.3,69,-7.49,-1.25,-2228,"{'long': (42, 35.7, 43.3, -7.5), 'short': (27, 37.0, 44.4, -7.4)}"
H2,0.708,1.272,align89,2.058,1.272,90.2,114.7,159,-5.12,-1.3,-2171,"{'long': (99, 33.3, 43.7, -10.4), 'short': (60, 48.3, 44.8, 3.6)}"
H6,0.708,1.272,none,2.058,1.0,165.3,165.3,71,-8.34,-1.41,-2158,"{'long': (43, 41.9, 48.8, -6.9), 'short': (28, 39.3, 49.8, -10.5)}"
H6,0.618,1.618,none,1.618,1.272,129.9,165.2,79,-7.89,-1.42,-2260,"{'long': (48, 31.2, 43.3, -12.0), 'short': (31, 41.9, 43.4, -1.5)}"
H2,0.708,1.618,align89,1.618,1.272,70.9,90.2,87,-8.11,-1.52,-1459,"{'long': (53, 28.3, 43.5, -15.2), 'short': (34, 47.1, 44.1, 3.0)}"
H2,0.708,1.272,align89,1.618,1.272,70.9,90.2,163,-6.31,-1.62,-2270,"{'long': (101, 32.7, 43.5, -10.8), 'short': (62, 45.2, 44.1, 1.1)}"
H2,0.708,1.272,none,2.058,1.272,90.2,114.7,299,-5.04,-1.75,-3948,"{'long': (172, 39.0, 43.7, -4.8), 'short': (127, 39.4, 44.8, -5.4)}"
H2,0.708,1.272,align89,2.058,1.0,90.2,90.2,160,-6.93,-1.75,-2415,"{'long': (99, 36.4, 49.2, -12.8), 'short': (61, 52.5, 49.8, 2.6)}"
H6,0.618,1.618,none,1.618,1.0,129.9,129.9,80,-10.37,-1.85,-2602,"{'long': (49, 34.7, 49.2, -14.5), 'short': (31, 45.2, 49.0, -3.9)}"
H2,0.708,1.618,align89,1.618,1.0,70.9,70.9,87,-10.06,-1.88,-1612,"{'long': (53, 34.0, 48.8, -14.8), 'short': (34, 47.1, 49.6, -2.6)}"
H2,0.708,1.618,align89,2.058,1.272,90.2,114.7,86,-10.4,-1.94,-2095,"{'long': (53, 26.4, 43.7, -17.3), 'short': (33, 45.5, 44.8, 0.7)}"
H6,0.618,1.618,none,2.058,1.272,165.3,210.3,77,-11.27,-1.99,-3381,"{'long': (46, 26.1, 43.3, -17.2), 'short': (31, 41.9, 44.4, -2.5)}"
H6,0.618,1.272,none,2.058,1.0,165.3,165.3,153,-8.04,-1.99,-4508,"{'long': (88, 40.9, 48.8, -7.9), 'short': (65, 41.5, 49.8, -8.3)}"
H2,0.708,1.618,none,2.058,1.272,90.2,114.7,155,-8.04,-2.01,-2962,"{'long': (89, 34.8, 43.7, -8.9), 'short': (66, 37.9, 44.8, -6.9)}"
H2,0.708,1.618,none,1.618,1.272,70.9,90.2,157,-8.09,-2.04,-2625,"{'long': (90, 34.4, 43.5, -9.1), 'short': (67, 37.3, 44.1, -6.8)}"
H2,0.708,1.618,align89,2.058,1.0,90.2,90.2,86,-11.06,-2.05,-2012,"{'long': (53, 30.2, 49.2, -19.0), 'short': (33, 51.5, 49.8, 1.7)}"
H2,0.708,1.272,align89,1.618,1.0,70.9,70.9,163,-8.02,-2.05,-2547,"{'long': (101, 38.6, 48.8, -10.2), 'short': (62, 45.2, 49.6, -4.5)}"
H2,0.708,1.618,none,2.058,1.0,90.2,90.2,156,-8.43,-2.11,-2912,"{'long': (90, 40.0, 49.2, -9.2), 'short': (66, 42.4, 49.8, -7.4)}"
H2,0.708,1.618,none,1.618,1.0,70.9,70.9,157,-8.4,-2.11,-2552,"{'long': (90, 38.9, 48.8, -9.9), 'short': (67, 43.3, 49.6, -6.4)}"
H6,0.618,1.272,none,2.058,1.272,165.3,210.3,147,-9.09,-2.22,-5550,"{'long': (82, 34.1, 43.3, -9.1), 'short': (65, 35.4, 44.4, -9.0)}"
H6,0.618,1.618,none,2.058,1.0,165.3,165.3,78,-13.29,-2.35,-3683,"{'long': (47, 29.8, 48.8, -19.0), 'short': (31, 45.2, 49.8, -4.6)}"
H2,0.708,1.272,none,2.058,1.0,90.2,90.2,304,-7.03,-2.45,-4781,"{'long': (175, 41.7, 49.2, -7.5), 'short': (129, 43.4, 49.8, -6.4)}"
H2,0.708,1.272,none,1.618,1.272,70.9,90.2,310,-6.99,-2.48,-4761,"{'long': (178, 35.4, 43.5, -8.1), 'short': (132, 38.6, 44.1, -5.5)}"
H2,0.708,1.272,none,1.618,1.0,70.9,70.9,312,-7.82,-2.76,-4945,"{'long': (178, 39.9, 48.8, -8.9), 'short': (134, 43.3, 49.6, -6.4)}"
