tf,ind,thr,mode,sl_atr,tp_atr,sl,tp,n,alpha,z_alpha,net,L,S
M30,zscore_fib_144,2.63,continuation,1.53,1.91,32.9,41.1,855,0.55,0.32,-2683.0,"(376, 48.14, 4.91, np.float64(1.92))","(479, 41.96, -2.88, np.float64(-1.27))"
M30,zscore_fib_144,3.08,reversion,1.87,1.87,40.2,40.2,500,-5.13,-2.3,-3981.6,"(278, 43.88, -4.7, np.float64(-1.57))","(222, 44.59, -5.67, np.float64(-1.69))"
M30,zscore_fib_144,3.08,reversion,1.87,2.24,40.2,48.2,495,-5.69,-2.54,-4382.9,"(276, 39.13, -4.93, np.float64(-1.65))","(219, 39.27, -6.64, np.float64(-1.97))"
M30,zscore_fib_144,3.08,reversion,2.23,2.68,47.9,57.6,474,-5.44,-2.38,-4434.8,"(269, 39.03, -5.09, np.float64(-1.68))","(205, 40.49, -5.89, np.float64(-1.69))"
M30,zscore_fib_144,3.08,reversion,1.53,1.91,32.9,41.1,512,-2.93,-1.34,-2994.4,"(283, 40.28, -2.95, np.float64(-1.0))","(229, 41.92, -2.92, np.float64(-0.89))"
M30,zscore_fib_144,3.08,continuation,1.87,1.87,40.2,40.2,500,4.28,1.92,-122.4,"(222, 53.6, 5.02, np.float64(1.5))","(278, 53.96, 3.69, np.float64(1.23))"
M30,zscore_fib_144,3.08,continuation,1.87,2.24,40.2,48.2,482,4.28,1.89,72.2,"(211, 48.82, 4.76, np.float64(1.39))","(271, 49.82, 3.91, np.float64(1.29))"
M30,zscore_fib_144,3.08,continuation,2.23,2.68,47.9,57.6,469,7.7,3.35,2256.7,"(205, 52.68, 8.56, np.float64(2.47))","(264, 53.41, 7.03, np.float64(2.29))"
M30,zscore_fib_144,3.08,continuation,1.53,1.91,32.9,41.1,503,3.8,1.71,-374.6,"(226, 44.69, 1.46, np.float64(0.44))","(277, 50.54, 5.7, np.float64(1.91))"
H1,zscore_fib_55,2.17,reversion,1.87,1.87,58.2,58.2,1066,-4.51,-2.94,-9844.9,"(559, 44.54, -3.7, np.float64(-1.75))","(507, 45.36, -5.4, np.float64(-2.43))"
H1,zscore_fib_55,2.17,reversion,1.87,2.24,58.2,69.7,1052,-4.35,-2.84,-9860.6,"(551, 40.83, -3.44, np.float64(-1.62))","(501, 40.72, -5.36, np.float64(-2.41))"
H1,zscore_fib_55,2.17,reversion,2.23,2.68,69.4,83.4,992,-3.24,-2.05,-8869.6,"(516, 41.86, -2.42, np.float64(-1.11))","(476, 41.6, -4.14, np.float64(-1.81))"
