entry_bar,exit_bar,outcome,pnl_pip,sl_pip,tp_pip,direction,t_entry,t_exit,src_card
5221,5263,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1313517600000000000,1313668800000000000,XAUUSD_H6
5269,5281,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1313690400000000000,1313733600000000000,XAUUSD_H6
5347,5355,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1313971200000000000,1314000000000000000,XAUUSD_H8
5363,5379,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1314028800000000000,1314086400000000000,XAUUSD_H8
5555,5571,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1314720000000000000,1314777600000000000,XAUUSD_H8
5579,5619,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1314806400000000000,1314950400000000000,XAUUSD_H8
5689,5713,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1315202400000000000,1315288800000000000,XAUUSD_H6
6361,6367,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1317621600000000000,1317643200000000000,XAUUSD_H6
6373,6391,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1317664800000000000,1317729600000000000,XAUUSD_H6
6529,6577,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1318226400000000000,1318399200000000000,XAUUSD_H6
6883,6895,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1319500800000000000,1319544000000000000,XAUUSD_H6
6899,6947,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1319558400000000000,1319731200000000000,XAUUSD_H8
7111,7207,win,342.13584072655766,228.0905604843718,342.13584072655766,long,1320321600000000000,1320667200000000000,XAUUSD_H12
7251,7259,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1320825600000000000,1320854400000000000,XAUUSD_H8
7699,7755,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1322438400000000000,1322640000000000000,XAUUSD_H8
7759,7879,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1322654400000000000,1323086400000000000,XAUUSD_H12
8233,8251,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1324360800000000000,1324425600000000000,XAUUSD_H6
8563,8593,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1325548800000000000,1325656800000000000,XAUUSD_H6
8599,8755,win,342.13584072655766,228.0905604843718,342.13584072655766,long,1325678400000000000,1326240000000000000,XAUUSD_H12
8899,9107,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1326758400000000000,1327507200000000000,XAUUSD_H8
9109,9151,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1327514400000000000,1327665600000000000,XAUUSD_H6
9223,9487,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1327924800000000000,1328875200000000000,XAUUSD_H12
9715,9779,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1329696000000000000,1329926400000000000,XAUUSD_H8
9803,9891,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1330012800000000000,1330329600000000000,XAUUSD_H8
9919,9943,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1330430400000000000,1330516800000000000,XAUUSD_H12
10147,10159,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1331251200000000000,1331294400000000000,XAUUSD_H6
10163,10227,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1331308800000000000,1331539200000000000,XAUUSD_H8
10495,10567,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1332504000000000000,1332763200000000000,XAUUSD_H6
10735,10765,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1333368000000000000,1333476000000000000,XAUUSD_H6
10933,11065,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1334080800000000000,1334556000000000000,XAUUSD_H6
11299,11499,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1335398400000000000,1336118400000000000,XAUUSD_H8
11815,11941,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1337256000000000000,1337709600000000000,XAUUSD_H6
12073,12103,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1338184800000000000,1338292800000000000,XAUUSD_H6
12171,12179,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1338537600000000000,1338566400000000000,XAUUSD_H8
12283,12323,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1338940800000000000,1339084800000000000,XAUUSD_H8
12457,12631,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1339567200000000000,1340193600000000000,XAUUSD_H6
12843,12947,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1340956800000000000,1341331200000000000,XAUUSD_H8
12979,13011,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1341446400000000000,1341561600000000000,XAUUSD_H8
13255,13279,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1342440000000000000,1342526400000000000,XAUUSD_H6
13465,13495,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1343196000000000000,1343304000000000000,XAUUSD_H6
13501,13639,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1343325600000000000,1343822400000000000,XAUUSD_H6
13771,13951,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1344297600000000000,1344945600000000000,XAUUSD_H6
14017,14119,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1345183200000000000,1345550400000000000,XAUUSD_H6
14191,14311,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1345809600000000000,1346241600000000000,XAUUSD_H6
14359,14527,win,342.13584072655766,228.0905604843718,342.13584072655766,long,1346414400000000000,1347019200000000000,XAUUSD_H12
14531,14675,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1347033600000000000,1347552000000000000,XAUUSD_H8
14755,14771,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1347840000000000000,1347897600000000000,XAUUSD_H8
14791,14983,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1347969600000000000,1348660800000000000,XAUUSD_H12
15007,15319,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1348747200000000000,1349870400000000000,XAUUSD_H6
15817,15871,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1351663200000000000,1351857600000000000,XAUUSD_H6
15979,15995,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1352246400000000000,1352304000000000000,XAUUSD_H8
16015,16183,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1352376000000000000,1352980800000000000,XAUUSD_H12
16275,16491,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1353312000000000000,1354089600000000000,XAUUSD_H8
16771,16855,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1355097600000000000,1355400000000000000,XAUUSD_H6
17287,17371,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1356955200000000000,1357257600000000000,XAUUSD_H12
17497,17695,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1357711200000000000,1358424000000000000,XAUUSD_H6
17803,17857,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1358812800000000000,1359007200000000000,XAUUSD_H6
18007,18031,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1359547200000000000,1359633600000000000,XAUUSD_H6
18637,18655,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1361815200000000000,1361880000000000000,XAUUSD_H6
18659,18683,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1361894400000000000,1361980800000000000,XAUUSD_H8
18979,19519,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1363046400000000000,1364990400000000000,XAUUSD_H12
19627,19693,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1365379200000000000,1365616800000000000,XAUUSD_H6
19891,19897,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1366329600000000000,1366351200000000000,XAUUSD_H6
19963,20035,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1366588800000000000,1366848000000000000,XAUUSD_H8
20143,20191,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1367236800000000000,1367409600000000000,XAUUSD_H12
20227,20335,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1367539200000000000,1367928000000000000,XAUUSD_H12
20881,20911,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1369893600000000000,1370001600000000000,XAUUSD_H6
21067,21163,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1370563200000000000,1370908800000000000,XAUUSD_H6
21835,21883,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1373328000000000000,1373500800000000000,XAUUSD_H8
22011,22043,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1373961600000000000,1374076800000000000,XAUUSD_H8
22147,22411,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1374451200000000000,1375401600000000000,XAUUSD_H8
22567,22663,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1375963200000000000,1376308800000000000,XAUUSD_H6
22739,22931,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1376582400000000000,1377273600000000000,XAUUSD_H8
23003,23043,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1377532800000000000,1377676800000000000,XAUUSD_H8
23197,23215,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1378231200000000000,1378296000000000000,XAUUSD_H6
23555,23603,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1379520000000000000,1379692800000000000,XAUUSD_H8
23763,23859,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1380268800000000000,1380614400000000000,XAUUSD_H8
24019,24051,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1381190400000000000,1381305600000000000,XAUUSD_H8
24243,24371,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1381996800000000000,1382457600000000000,XAUUSD_H8
24443,24579,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1382716800000000000,1383206400000000000,XAUUSD_H8
24907,25021,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1384387200000000000,1384797600000000000,XAUUSD_H6
25285,25345,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1385748000000000000,1385964000000000000,XAUUSD_H6
25537,25591,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1386655200000000000,1386849600000000000,XAUUSD_H6
25921,26047,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1388037600000000000,1388491200000000000,XAUUSD_H6
26091,26347,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1388649600000000000,1389571200000000000,XAUUSD_H8
26363,26403,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1389628800000000000,1389772800000000000,XAUUSD_H8
26459,26587,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1389974400000000000,1390435200000000000,XAUUSD_H8
26603,26763,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1390492800000000000,1391068800000000000,XAUUSD_H8
27019,27115,win,342.13584072655766,228.0905604843718,342.13584072655766,long,1391990400000000000,1392336000000000000,XAUUSD_H12
27355,27751,win,342.13584072655766,228.0905604843718,342.13584072655766,long,1393200000000000000,1394625600000000000,XAUUSD_H12
27779,27891,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1394726400000000000,1395129600000000000,XAUUSD_H8
28307,28547,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1396627200000000000,1397491200000000000,XAUUSD_H8
28803,28947,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1398412800000000000,1398931200000000000,XAUUSD_H8
29035,29099,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1399248000000000000,1399478400000000000,XAUUSD_H8
29257,29407,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1400047200000000000,1400587200000000000,XAUUSD_H6
29811,30043,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1402041600000000000,1402876800000000000,XAUUSD_H8
30123,30131,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1403164800000000000,1403193600000000000,XAUUSD_H8
30151,30967,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1403265600000000000,1406203200000000000,XAUUSD_H12
31083,31107,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1406620800000000000,1406707200000000000,XAUUSD_H8
31275,31635,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1407312000000000000,1408608000000000000,XAUUSD_H8
32779,33091,win,342.13584072655766,228.0905604843718,342.13584072655766,long,1412726400000000000,1413849600000000000,XAUUSD_H12
33515,33587,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1415376000000000000,1415635200000000000,XAUUSD_H8
33679,34015,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1415966400000000000,1417176000000000000,XAUUSD_H12
34087,34183,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1417435200000000000,1417780800000000000,XAUUSD_H12
34275,34427,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1418112000000000000,1418659200000000000,XAUUSD_H8
34779,34851,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1419926400000000000,1420185600000000000,XAUUSD_H8
34939,35099,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1420502400000000000,1421078400000000000,XAUUSD_H8
35101,35167,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1421085600000000000,1421323200000000000,XAUUSD_H6
35187,35283,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1421395200000000000,1421740800000000000,XAUUSD_H8
35339,35427,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1421942400000000000,1422259200000000000,XAUUSD_H8
36169,36283,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1424930400000000000,1425340800000000000,XAUUSD_H6
36699,36843,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1426838400000000000,1427356800000000000,XAUUSD_H8
37099,37163,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1428278400000000000,1428508800000000000,XAUUSD_H8
37615,37687,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1430136000000000000,1430395200000000000,XAUUSD_H6
37995,38115,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1431504000000000000,1431936000000000000,XAUUSD_H8
38665,39055,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1433916000000000000,1435320000000000000,XAUUSD_H6
39793,39865,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1437976800000000000,1438236000000000000,XAUUSD_H6
40135,40195,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1439208000000000000,1439424000000000000,XAUUSD_H6
40345,40375,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1439964000000000000,1440072000000000000,XAUUSD_H6
40459,40477,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1440374400000000000,1440439200000000000,XAUUSD_H6
40651,40711,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1441065600000000000,1441281600000000000,XAUUSD_H6
41019,41067,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1442390400000000000,1442563200000000000,XAUUSD_H8
41219,41307,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1443110400000000000,1443427200000000000,XAUUSD_H8
41413,41641,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1443808800000000000,1444629600000000000,XAUUSD_H6
41671,41701,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1444737600000000000,1444845600000000000,XAUUSD_H6
42027,42035,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1446019200000000000,1446048000000000000,XAUUSD_H8
42475,42499,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1447632000000000000,1447718400000000000,XAUUSD_H8
42577,42643,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1447999200000000000,1448236800000000000,XAUUSD_H6
42919,43087,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1449230400000000000,1449835200000000000,XAUUSD_H12
43323,43723,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1450684800000000000,1452124800000000000,XAUUSD_H8
43735,43855,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1452168000000000000,1452600000000000000,XAUUSD_H6
44043,44219,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1453276800000000000,1453910400000000000,XAUUSD_H8
44339,44411,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1454342400000000000,1454601600000000000,XAUUSD_H8
44413,44503,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1454608800000000000,1454932800000000000,XAUUSD_H6
44515,44569,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1454976000000000000,1455170400000000000,XAUUSD_H6
44883,44899,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1456300800000000000,1456358400000000000,XAUUSD_H8
45079,45247,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1457006400000000000,1457611200000000000,XAUUSD_H12
45409,45439,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1458194400000000000,1458302400000000000,XAUUSD_H6
45709,45733,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1459274400000000000,1459360800000000000,XAUUSD_H6
45913,46021,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1460008800000000000,1460397600000000000,XAUUSD_H6
46207,46285,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1461067200000000000,1461348000000000000,XAUUSD_H6
46417,46447,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1461823200000000000,1461931200000000000,XAUUSD_H6
46531,46567,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1462233600000000000,1462363200000000000,XAUUSD_H12
46849,46909,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1463378400000000000,1463594400000000000,XAUUSD_H6
47283,47411,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1464940800000000000,1465401600000000000,XAUUSD_H8
47431,47551,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1465473600000000000,1465905600000000000,XAUUSD_H6
47575,47719,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1465992000000000000,1466510400000000000,XAUUSD_H12
47947,48019,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1467331200000000000,1467590400000000000,XAUUSD_H6
48061,48127,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1467741600000000000,1467979200000000000,XAUUSD_H6
48583,49363,loss,-228.0905604843718,228.0905604843718,342.13584072655766,long,1469620800000000000,1472428800000000000,XAUUSD_H12
49547,49803,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1473091200000000000,1474012800000000000,XAUUSD_H8
49923,50219,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1474444800000000000,1475510400000000000,XAUUSD_H8
50563,50923,win,342.13584072655766,228.0905604843718,342.13584072655766,long,1476748800000000000,1478044800000000000,XAUUSD_H12
50947,51051,loss,-179.66512103160227,179.66512103160227,269.4976815474034,long,1478131200000000000,1478505600000000000,XAUUSD_H8
51091,51097,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1478649600000000000,1478671200000000000,XAUUSD_H6
52291,52459,win,269.4976815474034,179.66512103160227,269.4976815474034,long,1482969600000000000,1483574400000000000,XAUUSD_H8
52471,52633,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1483617600000000000,1484200800000000000,XAUUSD_H6
