tf,mode,lo,hi,slk,tpk,sl,tp,n,alpha,z,net,detail
H2,reversal,17.3,82.7,1.53,1.91,88.8,110.9,173,-1.79,-0.47,-1820,"{'long': (75, 44.0, 46.7, -2.7), 'short': (98, 40.8, 41.9, -1.1)}"
M30,continuation,17.3,82.7,1.87,2.24,53.6,64.2,559,-1.16,-0.55,-2795,"{'long': (315, 46.7, 45.5, 1.1), 'short': (244, 41.0, 45.1, -4.1)}"
H1,continuation,9.4,90.6,1.53,1.91,63.5,79.3,89,-2.96,-0.56,-804,"{'long': (58, 41.4, 44.2, -2.9), 'short': (31, 38.7, 41.9, -3.1)}"
M30,reversal,9.4,90.6,1.53,1.91,43.9,54.7,120,-2.91,-0.64,-833,"{'long': (53, 45.3, 43.9, 1.4), 'short': (67, 37.3, 43.6, -6.3)}"
H2,reversal,12.9,87.1,2.23,2.68,129.4,155.5,89,-3.49,-0.66,-1292,"{'long': (38, 39.5, 47.1, -7.6), 'short': (51, 43.1, 43.6, -0.4)}"
M30,continuation,17.3,82.7,1.53,1.91,43.9,54.7,590,-1.4,-0.68,-3232,"{'long': (327, 43.7, 43.9, -0.1), 'short': (263, 40.7, 43.6, -3.0)}"
H3,continuation,17.3,82.7,1.87,2.24,133.2,159.5,110,-3.25,-0.69,-1003,"{'long': (66, 43.9, 48.0, -4.1), 'short': (44, 40.9, 42.9, -2.0)}"
M30,reversal,9.4,90.6,1.87,2.24,53.6,64.2,120,-4.47,-0.98,-1056,"{'long': (53, 45.3, 45.5, -0.2), 'short': (67, 37.3, 45.1, -7.8)}"
H2,reversal,17.3,82.7,2.23,2.68,129.4,155.5,165,-3.87,-1.0,-2652,"{'long': (71, 42.3, 47.1, -4.8), 'short': (94, 40.4, 43.6, -3.1)}"
H2,reversal,17.3,82.7,1.87,2.24,108.5,130.0,171,-3.84,-1.01,-2526,"{'long': (75, 44.0, 47.4, -3.4), 'short': (96, 39.6, 43.8, -4.2)}"
M30,reversal,9.4,90.6,2.23,2.68,63.9,76.8,119,-5.12,-1.12,-1384,"{'long': (52, 44.2, 45.6, -1.4), 'short': (67, 35.8, 43.8, -8.0)}"
H2,reversal,12.9,87.1,1.53,1.91,88.8,110.9,94,-6.71,-1.31,-1940,"{'long': (40, 35.0, 46.7, -11.7), 'short': (54, 38.9, 41.9, -3.0)}"
H2,reversal,12.9,87.1,1.87,2.24,108.5,130.0,93,-8.73,-1.69,-2489,"{'long': (39, 35.9, 47.4, -11.5), 'short': (54, 37.0, 43.8, -6.8)}"
H1,reversal,17.3,82.7,1.87,2.24,77.7,93.0,325,-6.4,-2.32,-4987,"{'long': (153, 42.5, 46.5, -4.0), 'short': (172, 34.9, 43.4, -8.5)}"
H1,reversal,17.3,82.7,2.23,2.68,92.6,111.3,315,-6.79,-2.42,-5459,"{'long': (147, 42.2, 46.7, -4.5), 'short': (168, 35.1, 43.9, -8.8)}"
H1,reversal,17.3,82.7,1.53,1.91,63.5,79.3,335,-6.87,-2.54,-5092,"{'long': (159, 39.6, 44.2, -4.6), 'short': (176, 33.0, 41.9, -8.9)}"
