signal_bar,entry_bar,exit_bar,entry_price,exit_price,direction,outcome,pnl,bars_held,sl_dist,kelly_w
98215,98216,98224,0.71964,0.7211842481885061,short,loss,-0.001544248188506181,8,0.001544248188506145,1.7836024480043464
98243,98244,98247,0.71939,0.7186032875479179,short,win,0.0007867124520820612,3,0.001730767394580598,1.3762347575691247
98247,98248,98266,0.71916,0.7184204949931301,short,win,0.0007395050068699227,18,0.0016269110151139196,1.3762347575691247
98266,98267,98273,0.71838,0.7170589353293902,short,win,0.0013210646706097728,6,0.0011178239520544192,1.7836024480043464
98280,98281,98302,0.71714,0.7186264873383866,short,loss,-0.0014864873383866328,21,0.0014864873383865925,1.7836024480043464
98318,98319,98321,0.71554,0.7132720822744875,short,win,0.0022679177255124916,2,0.0019190073062028748,1.7836024480043464
98321,98322,98337,0.71338,0.710792374182598,short,win,0.0025876258174020172,15,0.0021895295378016625,1.7836024480043464
98338,98339,98363,0.71151,0.7089638900634919,short,win,0.0025461099365080564,24,0.00215440071550684,1.7836024480043464
98370,98371,98385,0.70999,0.7113214500523217,short,loss,-0.0013314500523217143,14,0.0013314500523216842,1.7836024480043464
98438,98439,98447,0.7051499999999999,0.7024370155770308,short,win,0.002712984422969189,8,0.00229560220405083,1.7836024480043464
98470,98471,98485,0.70236,0.7004864335290568,short,win,0.0018735664709431665,14,0.0015853254754134229,1.7836024480043464
98488,98489,98494,0.69901,0.6965276277186755,short,win,0.0024823722813245297,5,0.0021004688534284333,1.7836024480043464
98504,98505,98510,0.69855,0.6959403492735228,short,win,0.0026096507264772306,5,0.002208165999326856,1.7836024480043464
98537,98538,98552,0.69223,0.6946656485385428,short,loss,-0.002435648538542834,14,0.00243564853854287,1.7836024480043464
98633,98634,98647,0.68692,0.6890555757210998,short,loss,-0.0021355757210997917,13,0.0021355757210998133,1.7836024480043464
98905,98906,98929,0.69252,0.6951837569673939,short,loss,-0.002663756967393849,23,0.0026637569673938163,1.7836024480043464
98988,98989,98999,0.69687,0.6960667070470525,short,win,0.0008032929529474542,10,0.0017672444964844868,1.3762347575691247
99018,99019,99021,0.69498,0.6959952077918399,short,loss,-0.001015207791839834,2,0.0010152077918398517,1.7836024480043464
99578,99579,99623,0.69098,0.6890067218193235,short,win,0.0019732781806764965,44,0.0016696969221108762,1.7836024480043464
99626,99627,99646,0.68792,0.6895634470054546,short,loss,-0.0016434470054546013,19,0.0016434470054546544,1.7836024480043464
99650,99651,99654,0.68839,0.6862654106717625,short,win,0.0021245893282374473,3,0.0017977294315855471,1.7836024480043464
99654,99655,99702,0.68688,0.68785,short,loss,-0.0009699999999999154,47,0.0020863390851602196,1.7836024480043464
99716,99717,99719,0.68774,0.6890822635139267,short,loss,-0.0013422635139266337,2,0.0013422635139266198,2.0
99737,99738,99745,0.68753,0.6891984246812367,short,loss,-0.0016684246812367354,7,0.001668424681236749,1.7836024480043464
99753,99754,99758,0.68748,0.6898158174800698,short,loss,-0.002335817480069835,4,0.0023358174800697804,1.3762347575691247
99797,99798,99803,0.68821,0.686462322223893,short,win,0.0017476777761069595,5,0.0011427123920699585,2.0
99803,99804,99806,0.68569,0.6834898577002868,short,win,0.0022001422997132147,2,0.0018616588689880681,1.7836024480043464
99814,99815,99822,0.6825,0.6799915539440191,short,win,0.002508446055980884,7,0.0021225312781376344,1.7836024480043464
99826,99827,99838,0.68072,0.6781817328519184,short,win,0.0025382671480815855,11,0.00214776450991517,1.7836024480043464
99846,99847,99862,0.67863,0.6804056960525863,short,loss,-0.0017756960525863175,15,0.0017756960525863448,2.0
100052,100053,100079,0.67844,0.6805263450641967,short,loss,-0.002086345064196693,26,0.0020863450641966986,1.3762347575691247
100109,100110,100126,0.67928,0.6815721624551789,short,loss,-0.0022921624551789366,16,0.0022921624551789067,1.3762347575691247
100130,100131,100134,0.67966,0.6769418234995028,short,win,0.002718176500497216,3,0.0017772692503251115,2.0
100135,100136,100180,0.67759,0.6801448088023921,short,loss,-0.0025548088023921167,44,0.0025548088023920894,1.7836024480043464
100385,100386,100398,0.68082,0.678998095107148,short,win,0.0018219048928519443,12,0.001541611832413165,1.7836024480043464
100398,100399,100407,0.67847,0.6764245397273044,short,win,0.0020454602726955873,8,0.001730774076896302,1.7836024480043464
100407,100408,100409,0.67701,0.6748640950040455,short,win,0.002145904995954462,1,0.0018157657658076495,1.7836024480043464
100429,100430,100459,0.6748,0.6723668170866796,short,win,0.0024331829133203975,29,0.0020588470805019037,1.7836024480043464
100539,100540,100540,0.67399,0.6756422162918515,short,loss,-0.001652216291851527,0,0.00165221629185152,1.3762347575691247
100546,100547,100551,0.67502,0.6743408432150775,short,win,0.0006791567849224744,4,0.0014941449268294966,1.3762347575691247
100551,100552,100555,0.67458,0.6757180275856882,short,loss,-0.0011380275856882616,3,0.001138027585688243,2.0
100557,100558,100562,0.67496,0.6766211378122313,short,loss,-0.001661137812231317,4,0.0016611378122312686,1.3762347575691247
100575,100576,100580,0.6754,0.6771334419331946,short,loss,-0.0017334419331945794,4,0.0017334419331945983,1.3762347575691247
100672,100673,100675,0.6755099999999999,0.6774798317288769,short,loss,-0.0019698317288769918,2,0.001969831728876987,1.3762347575691247
100675,100676,100681,0.67523,0.6741076874654879,short,win,0.0011223125345121154,5,0.002469087575926661,1.3762347575691247
100681,100682,100690,0.67372,0.6725293630892533,short,win,0.001190636910746723,8,0.002619401203642691,1.3762347575691247
100690,100691,100701,0.67127,0.6684225100640793,short,win,0.002847489935920766,10,0.002409414561163729,1.7836024480043464
100702,100703,100709,0.66977,0.6725024345526756,short,loss,-0.0027324345526755778,6,0.0027324345526756003,1.7836024480043464
100763,100764,100769,0.67277,0.671990388394863,short,win,0.0007796116051369539,5,0.001715145531301367,1.3762347575691247
100769,100770,100772,0.67199,0.6733330800318513,short,loss,-0.0013430800318513514,2,0.0013430800318512974,2.0
