signal_bar,entry_bar,exit_bar,entry_price,exit_price,direction,outcome,pnl,bars_held,sl_dist,kelly_w
132965,132966,132970,4199.2699999999995,4215.29084982883,long,win,16.02084982883025,4,12.015637371622642,1.566043393557437
132971,132972,132975,4210.7699999999995,4199.2274139308065,long,loss,-11.542586069193021,3,11.542586069192692,1.566043393557437
132975,132976,132994,4189.87,4209.974644096981,long,win,20.104644096981247,18,15.0784830727357,1.566043393557437
132995,132996,133000,4206.139999999999,4184.641480887312,long,loss,-21.498519112687063,4,21.498519112687035,1.4769866508894283
133003,133004,133031,4197.08,4219.372815977397,long,win,22.292815977397368,27,22.29281597739699,1.4769866508894283
133217,133218,133262,4249.12,4282.338027010352,short,loss,-33.21802701035176,44,33.21802701035156,1.9979376496007633
133270,133271,133274,4316.21,4342.691260070763,long,win,26.4812600707628,3,19.860945053072243,1.566043393557437
133355,133356,133357,4228.13,4206.099274172228,short,win,22.030725827771676,1,26.751595648008895,1.3466613265673728
133357,133358,133361,4210.71,4188.804761913809,short,win,21.905238086191275,3,26.599217676089346,1.3466613265673728
133362,133363,133363,4181.46,4154.563563342774,short,win,26.89643665722633,0,32.65995879806071,1.3466613265673728
133365,133366,133398,4138.360000000001,4082.127980909247,short,win,56.23201909075351,32,43.452014751945825,1.0911996168884093
133401,133402,133402,4074.76,4112.756141888108,short,loss,-37.99614188810756,0,37.99614188810795,1.0911996168884093
133430,133431,133440,4087.42,4048.921000192812,short,win,38.498999807188284,9,38.4989998071881,1.9979376496007633
133491,133492,133503,4075.8300000000004,4100.035652771695,short,loss,-24.20565277169453,11,24.205652771694904,1.0911996168884093
133594,133595,133606,4117.35,4096.323783931471,short,win,21.02621606852972,11,16.24753059840931,1.0911996168884093
133607,133608,133614,4089.36,4068.3285015003125,short,win,21.031498499687586,6,16.251612477031408,1.0911996168884093
133614,133615,133619,4053.69,4072.5034993223585,short,loss,-18.81349932235844,4,18.81349932235838,1.0911996168884093
133619,133620,133621,4069.4700000000003,4054.381460823774,short,win,15.088539176226277,1,18.32179757113188,1.3466613265673728
133622,133623,133632,4066.44,4085.328480052397,short,loss,-18.88848005239697,9,18.888480052396808,1.0911996168884093
133632,133633,133634,4082.69,4101.3793011800435,short,loss,-18.689301180043458,1,18.68930118004355,1.3466613265673728
133654,133655,133666,4104.14,4078.5670621364243,short,win,25.572937863576044,11,19.76090653094504,1.0911996168884093
133666,133667,133668,4104.85,4088.0447414897826,short,win,16.805258510217755,1,20.40638533383562,1.3466613265673728
133668,133669,133709,4080.13,4051.5782116833134,short,win,28.551788316686725,40,28.55178831668692,1.9979376496007633
133709,133710,133720,4042.8100000000004,4019.400493109607,short,win,23.40950689039346,10,23.409506890393384,1.9979376496007633
133720,133721,133723,4020.25,4039.686384792537,short,loss,-19.436384792536956,2,19.436384792537183,1.3466613265673728
133723,133724,133729,4034.21,4017.896393340575,short,win,16.313606659425204,5,19.809379515016104,1.3466613265673728
133729,133730,133730,4021.61,4004.458868145637,short,win,17.15113185436303,0,20.826374394583638,1.3466613265673728
133730,133731,133731,4004.51,3986.2879489923776,short,win,18.222051007622667,0,22.126776223541956,1.3466613265673728
133731,133732,133779,3997.9500000000003,3990.19,short,win,7.760000000000218,47,23.132720779003215,1.0911996168884093
