signal_bar,entry_bar,exit_bar,entry_price,exit_price,direction,outcome,pnl,bars_held,sl_dist,kelly_w
159456,159457,159466,1.0502,1.0483308781328609,long,loss,-0.0018691218671391674,9,0.001869121867139235,1.251212188305916
159506,159507,159511,1.04868,1.0478314036027583,long,loss,-0.0008485963972417743,4,0.0008485963972417816,1.251212188305916
159532,159533,159534,1.05295,1.051603343616898,long,loss,-0.0013466563831021627,1,0.0013466563831021493,1.251212188305916
159576,159577,159599,1.05638,1.05481024553281,long,loss,-0.0015697544671899877,22,0.001569754467189936,1.251212188305916
159606,159607,159611,1.05571,1.0548937470553754,long,loss,-0.000816252944624507,4,0.0008162529446245916,1.251212188305916
160137,160138,160138,1.05521,1.0574102571200599,long,win,0.0022002571200598897,0,0.001650192840044997,1.251212188305916
160170,160171,160171,1.05866,1.0579321381528093,long,loss,-0.0007278618471906473,0,0.0007278618471907394,1.251212188305916
160174,160175,160177,1.05775,1.0570538090322361,long,loss,-0.0006961909677638545,2,0.0006961909677638299,1.251212188305916
160837,160838,160845,1.05088,1.051879383296295,long,win,0.0009993832962948979,7,0.0007495374722212212,1.251212188305916
161206,161207,161254,1.04369,1.04331,long,loss,-0.00038000000000004697,47,0.0016095379982768556,1.251212188305916
161491,161492,161507,1.04172,1.041043599616777,long,loss,-0.0006764003832229193,15,0.0006764003832229828,1.251212188305916
168431,168432,168439,1.10155,1.1040414369105542,long,win,0.002491436910554201,7,0.0023956124139943944,1.0906028575671047
168530,168531,168535,1.10289,1.1049744351604274,long,win,0.0020844351604274447,4,0.0020042645773340867,1.0906028575671047
168613,168614,168614,1.13007,1.12757074617217,long,loss,-0.002499253827829895,0,0.002499253827829984,1.0906028575671047
168614,168615,168618,1.12756,1.1249696214455864,long,loss,-0.002590378554413464,3,0.002590378554413559,1.0906028575671047
168632,168633,168634,1.1371499999999999,1.1330848303595522,long,loss,-0.0040651696404476745,1,0.00406516964044758,1.0906028575671047
168645,168646,168646,1.13985,1.1358353099047445,long,loss,-0.004014690095255569,0,0.004014690095255514,1.0906028575671047
168646,168647,168647,1.13814,1.1336897520544056,long,loss,-0.004450247945594343,0,0.00445024794559442,1.0906028575671047
168649,168650,168651,1.13727,1.132859820613531,long,loss,-0.0044101793864690375,1,0.004410179386468989,1.0906028575671047
168651,168652,168657,1.13405,1.1297049346106467,long,loss,-0.004345065389353309,5,0.004345065389353367,1.0906028575671047
168697,168698,168700,1.13895,1.136602084103854,long,loss,-0.0023479158961459135,2,0.0023479158961459317,1.0906028575671047
168701,168702,168712,1.13676,1.139035409489437,long,win,0.0022754094894370525,10,0.002187893739843399,1.0906028575671047
168722,168723,168724,1.13823,1.1404765840391995,long,win,0.0022465840391994174,1,0.0021601769607687326,1.0906028575671047
168818,168819,168826,1.13489,1.1331574143763157,long,loss,-0.0017325856236842796,7,0.0017325856236843464,1.0906028575671047
168914,168915,168915,1.13492,1.1367683055783115,long,win,0.0018483055783116153,0,0.0017772169022226493,1.0906028575671047
169732,169733,169740,1.14201,1.1408881193825675,long,loss,-0.001121880617432458,7,0.001121880617432543,1.0906028575671047
170092,170093,170093,1.13603,1.1341821988308898,long,loss,-0.001847801169110319,0,0.0018478011691103128,1.0906028575671047
170093,170094,170099,1.13373,1.131784720342969,long,loss,-0.0019452796570309516,5,0.0019452796570310212,1.0906028575671047
170308,170309,170312,1.1367,1.135597518511339,long,loss,-0.0011024814886611,3,0.001102481488661003,1.0906028575671047
170788,170789,170795,1.11865,1.1195836985184922,long,win,0.000933698518492232,6,0.0008977870370118434,1.0906028575671047
170843,170844,170845,1.12311,1.1215035745520086,long,loss,-0.0016064254479914997,1,0.0016064254479914524,1.0906028575671047
170845,170846,170857,1.12207,1.1204957734657623,long,loss,-0.001574226534237555,11,0.001574226534237539,1.0906028575671047
170908,170909,170918,1.11958,1.11876653270275,long,loss,-0.000813467297249959,9,0.0008134672972499597,1.0906028575671047
170919,170920,170921,1.11934,1.1201676604998074,long,win,0.0008276604998074255,1,0.0007958274036609259,1.0906028575671047
170926,170927,170927,1.12023,1.119096479445625,long,loss,-0.0011335205543749893,0,0.0011335205543749074,1.0906028575671047
171003,171004,171012,1.12023,1.121040684684701,long,win,0.000810684684700913,8,0.0007795045045200634,1.0906028575671047
171117,171118,171118,1.12283,1.1239774643598066,long,win,0.0011474643598066159,0,0.0011033311151987136,1.0906028575671047
171118,171119,171120,1.12354,1.1247485026198205,long,win,0.0012085026198205284,1,0.0011620217498273658,1.0906028575671047
171139,171140,171144,1.12572,1.1244253131892445,long,loss,-0.0012946868107555076,4,0.0012946868107555996,1.0906028575671047
171144,171145,171151,1.12494,1.1236118740702798,long,loss,-0.001328125929720203,6,0.0013281259297202687,1.0906028575671047
171164,171165,171184,1.12367,1.1226821818944523,long,loss,-0.0009878181055475999,19,0.000987818105547635,1.0906028575671047
171216,171217,171218,1.12639,1.12530077961395,long,loss,-0.0010892203860499716,1,0.0010892203860500297,1.0906028575671047
171258,171259,171272,1.12744,1.1285476091396063,long,win,0.0011076091396062804,13,0.0010650087880830375,1.0906028575671047
171272,171273,171281,1.12856,1.1292328265224423,long,win,0.0006728265224422714,8,0.0006469485792713779,1.0906028575671047
171289,171290,171294,1.13189,1.1328099217637924,long,win,0.0009199217637922974,4,0.0008845401574926285,1.0906028575671047
171308,171309,171310,1.13196,1.133179824201718,long,win,0.0012198242017178451,1,0.0011729078862672178,1.0906028575671047
171314,171315,171319,1.13204,1.1332573104026953,long,win,0.0012173104026953485,4,0.0011704907718225258,1.0906028575671047
171323,171324,171327,1.13387,1.1324931740869,long,loss,-0.001376825913099955,3,0.0013768259130999866,1.0906028575671047
171552,171553,171560,1.13616,1.1373451222051492,long,win,0.0011851222051491028,7,0.0011395405818741546,1.0906028575671047
171934,171935,171953,1.13689,1.1381153283581273,long,win,0.0012253283581273866,18,0.0011782003443532635,1.0906028575671047
172025,172026,172033,1.13606,1.1347609749506025,long,loss,-0.0012990250493976063,7,0.0012990250493975248,1.0906028575671047
172039,172040,172044,1.1348799999999999,1.1357319350164343,long,win,0.0008519350164344353,4,0.000819168285033032,1.0906028575671047
172091,172092,172098,1.14155,1.142676314172111,long,win,0.0011263141721109537,6,0.001082994396260435,1.0906028575671047
172099,172100,172101,1.14186,1.1407635344371225,long,loss,-0.0010964655628775688,1,0.0010964655628775068,1.0906028575671047
172101,172102,172103,1.14093,1.1421251519761804,long,win,0.0011951519761803642,1,0.0011491845924811166,1.0906028575671047
172134,172135,172140,1.14367,1.144520624008651,long,win,0.0008506240086509909,5,0.0008179077006258988,1.0906028575671047
172300,172301,172307,1.14189,1.1433211829389776,long,win,0.0014311829389774822,6,0.0013761374413244225,1.0906028575671047
172315,172316,172320,1.14207,1.1410962799982942,long,loss,-0.0009737200017057024,4,0.0009737200017057544,1.0906028575671047
172320,172321,172333,1.14148,1.1423533126941474,long,win,0.0008733126941473657,12,0.0008397237443723726,1.0906028575671047
172404,172405,172452,1.14408,1.14352,long,loss,-0.0005599999999998939,47,0.0015160505289784035,1.0906028575671047
172609,172610,172612,1.14218,1.1415244729874188,long,loss,-0.0006555270125812029,2,0.0006555270125812003,1.0906028575671047
172613,172614,172622,1.14187,1.1424948225032951,long,win,0.0006248225032952082,8,0.0006007908685529824,1.0906028575671047
172626,172627,172629,1.14232,1.141734751400359,long,loss,-0.0005852485996409307,2,0.0005852485996410142,1.0906028575671047
172676,172677,172681,1.14409,1.1429760963831157,long,loss,-0.0011139036168843486,4,0.00111390361688434,1.0906028575671047
172709,172710,172716,1.14229,1.143087473649964,long,win,0.0007974736499640755,6,0.0007668015865039232,1.0906028575671047
172718,172719,172720,1.14383,1.1431233157130054,long,loss,-0.0007066842869944967,1,0.0007066842869944117,1.0906028575671047
172720,172721,172721,1.14302,1.1437868919912353,long,win,0.0007668919912353633,0,0.0007373961454186713,1.0906028575671047
172751,172752,172754,1.14197,1.1428316924873463,long,win,0.000861692487346355,2,0.0008285504686022013,1.0906028575671047
172771,172772,172776,1.14609,1.1475641624202149,long,win,0.0014741624202148085,4,0.001417463865591132,1.0906028575671047
172787,172788,172811,1.14899,1.1502466790070034,long,win,0.0012566790070034362,23,0.0012083451990418635,1.0906028575671047
172878,172879,172904,1.15718,1.1588985419467626,long,win,0.001718541946762464,25,0.0016524441795793406,1.0906028575671047
172992,172993,172996,1.15443,1.1532245280459186,long,loss,-0.001205471954081494,3,0.001205471954081468,1.0906028575671047
173554,173555,173558,1.15459,1.1562596150268887,long,win,0.0016696150268886711,3,0.0016053990643159894,1.0906028575671047
173565,173566,173576,1.15724,1.1586538331977827,long,win,0.0014138331977826546,10,0.0013594549978680258,1.0906028575671047
173576,173577,173581,1.15922,1.160272469030811,long,win,0.0010524690308111317,4,0.001011989452702975,1.0906028575671047
173623,173624,173625,1.16094,1.1596949034377364,long,loss,-0.0012450965622636812,1,0.0012450965622637141,1.0906028575671047
173660,173661,173666,1.16184,1.1607802479808054,long,loss,-0.0010597520191946153,5,0.0010597520191945545,1.0906028575671047
173746,173747,173752,1.1634,1.164403793428202,long,win,0.0010037934282021155,5,0.0009651859886558075,1.0906028575671047
