tf,W,D,mode,k_sl,rr,n,alpha,z,net
D1,144,21,rev,1.618,1.272,23,,,
D1,144,21,rev,2.058,1.0,23,,,
D1,144,21,rev,2.058,1.272,23,,,
D1,144,34,cont,1.618,1.0,18,,,
D1,144,34,cont,1.618,1.272,18,,,
D1,144,34,cont,2.058,1.0,18,,,
D1,144,34,cont,2.058,1.272,18,,,
D1,144,34,rev,1.618,1.0,18,,,
D1,144,34,rev,1.618,1.272,18,,,
D1,144,34,rev,2.058,1.0,18,,,
D1,144,34,rev,2.058,1.272,18,,,
