signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held,t_entry,t_exit,src_card
6500,49721,49743,short,1404.05,1417.8999176,loss,-141.79917600000027,138.49917599999986,3,1562889600000000000,1563148800000000000,XAUUSD_H8
6512,49812,49926,long,1426.38,1422.22,loss,-44.900000000000816,145.12629599999977,15,1563408000000000000,1564012800000000000,XAUUSD_H8
6542,50040,50055,short,1412.69,1427.8307432,loss,-154.70743199999862,151.4074319999997,2,1564617600000000000,1564675200000000000,XAUUSD_H8
6545,50063,50131,long,1444.94,1477.0292217632,win,317.5922176319993,155.92430399999964,9,1564704000000000000,1565136000000000000,XAUUSD_H8
6556,50146,50229,long,1497.34,1529.8862854528,win,322.1628545280002,158.1452159999997,11,1565193600000000000,1565683200000000000,XAUUSD_H8
6595,50442,50465,short,1527.15,1543.4107392,loss,-165.9073919999999,162.60739199999978,3,1566835200000000000,1566921600000000000,XAUUSD_H8
6676,51055,51159,long,1499.27,1494.56,loss,-50.40000000000036,159.01780800000006,15,1570060800000000000,1570694400000000000,XAUUSD_H8
6873,52528,52543,short,1564.6,1573.7655232,loss,-94.95523200000052,91.65523199999983,2,1578355200000000000,1578412800000000000,XAUUSD_H8
6876,52551,52551,long,1576.72,1595.7556817392,win,187.0568173920007,92.49602399999986,0,1578441600000000000,1578441600000000000,XAUUSD_H8
6879,52574,52688,short,1555.88,1551.7,win,38.50000000000064,101.26264799999987,15,1578528000000000000,1579132800000000000,XAUUSD_H8
6921,52889,52912,short,1566.59,1577.9647327999999,loss,-117.04732799999947,113.74732799999985,3,1580256000000000000,1580342400000000000,XAUUSD_H8
6977,53310,53310,long,1677.53,1665.330248,loss,-125.29751999999989,121.99752000000004,0,1582560000000000000,1582560000000000000,XAUUSD_H8
6981,53341,53348,short,1634.02,1646.6634256,loss,-129.73425600000002,126.43425600000009,1,1582675200000000000,1582704000000000000,XAUUSD_H8
6988,53394,53402,short,1630.8,1602.9780148943998,win,274.91985105600105,135.18943200000015,1,1582876800000000000,1582905600000000000,XAUUSD_H8
6991,53416,53424,long,1603.97,1589.3085464,loss,-149.9145359999996,146.61453600000016,1,1583136000000000000,1583164800000000000,XAUUSD_H8
6995,53447,53447,long,1605.25,1636.3245717856,win,307.4457178560003,150.9940320000003,0,1583251200000000000,1583251200000000000,XAUUSD_H8
7001,53493,53508,long,1655.03,1688.1328246304,win,327.72824630399936,160.84948800000024,2,1583424000000000000,1583481600000000000,XAUUSD_H8
7006,53531,53531,short,1663.08,1680.5229359999998,loss,-177.7293599999992,174.4293600000002,0,1583740800000000000,1583740800000000000,XAUUSD_H8
7009,53554,53577,short,1651.48,1669.5749632,loss,-184.2496319999994,180.94963200000024,3,1583827200000000000,1583913600000000000,XAUUSD_H8
7016,53607,53614,short,1596.89,1556.7995458928,win,397.604541072,194.80298400000018,1,1584028800000000000,1584057600000000000,XAUUSD_H8
7020,53637,53637,short,1550.96,1572.5164568,loss,-218.8645679999998,215.56456800000015,0,1584316800000000000,1584316800000000000,XAUUSD_H8
7022,53653,53653,short,1470.58,1493.7730119999999,loss,-235.23011999999954,231.93012000000016,0,1584374400000000000,1584374400000000000,XAUUSD_H8
7029,53706,53737,short,1484.92,1511.2757128,loss,-266.85712799999993,263.5571280000002,4,1584576000000000000,1584691200000000000,XAUUSD_H8
7038,53775,53783,long,1554.33,1613.6197468464,win,589.5974684640003,288.09400800000014,1,1585008000000000000,1585036800000000000,XAUUSD_H8
7040,53791,53905,long,1603.97,1574.1515216,loss,-301.48478400000005,298.18478400000015,15,1585065600000000000,1585670400000000000,XAUUSD_H8
7056,53913,53943,short,1573.68,1607.013396,loss,-336.63395999999995,333.3339600000001,4,1585699200000000000,1585814400000000000,XAUUSD_H8
7068,54004,54103,long,1656.0,1729.3485128544,win,730.1851285440005,356.4067680000002,13,1586217600000000000,1586851200000000000,XAUUSD_H8
7097,54225,54240,short,1664.96,1699.573028,loss,-349.43027999999987,346.13028,2,1587484800000000000,1587542400000000000,XAUUSD_H8
7101,54256,54370,long,1715.81,1711.85,loss,-42.90000000000036,350.1714240000001,15,1587600000000000000,1588204800000000000,XAUUSD_H8
7308,55821,55836,long,1958.43,1941.568368,loss,-171.916320000001,168.61631999999994,2,1595980800000000000,1596038400000000000,XAUUSD_H8
7329,55981,55988,long,2061.93,2043.4385544,loss,-188.21445599999907,184.91445599999992,1,1596758400000000000,1596787200000000000,XAUUSD_H8
7332,56003,56018,short,2026.22,2045.4235112000001,loss,-195.33511200000095,192.03511199999986,2,1597017600000000000,1597075200000000000,XAUUSD_H8
7337,56041,56041,short,1963.26,1921.8405010176,win,410.894989824,201.26092799999995,0,1597161600000000000,1597161600000000000,XAUUSD_H8
7340,56064,56064,long,1937.51,1915.1505296,loss,-226.89470399999965,223.59470399999995,0,1597248000000000000,1597248000000000000,XAUUSD_H8
7344,56095,56147,long,1952.48,2000.6159268656,win,478.0592686559991,233.89663199999987,7,1597363200000000000,1597737600000000000,XAUUSD_H8
7356,56186,56186,short,1924.62,1950.4108176,loss,-261.20817600000083,257.9081759999999,0,1597881600000000000,1597881600000000000,XAUUSD_H8
7377,56345,56406,long,1968.96,1939.3445328,loss,-299.45467200000013,296.1546719999999,8,1598832000000000000,1599062400000000000,XAUUSD_H8
7431,56752,56835,short,1862.7,1892.1878856,loss,-298.1788560000003,294.8788559999999,11,1600905600000000000,1601395200000000000,XAUUSD_H8
7466,57018,57063,long,1920.8,1897.7045504,loss,-234.2544959999994,230.95449600000003,6,1602259200000000000,1602604800000000000,XAUUSD_H8
7529,57497,57611,short,1880.6,1888.67,loss,-84.00000000000163,207.96182400000012,15,1604937600000000000,1605542400000000000,XAUUSD_H8
7562,57748,57856,short,1805.73,1814.94,loss,-95.40000000000036,202.73390400000014,15,1606233600000000000,1606838400000000000,XAUUSD_H8
7658,58469,58477,short,1834.3,1855.8746463999998,loss,-219.04646399999893,215.746464,1,1610380800000000000,1610409600000000000,XAUUSD_H8
7712,58876,58913,short,1808.34,1830.309984,loss,-222.9998400000007,219.6998399999999,5,1612454400000000000,1612771200000000000,XAUUSD_H8
7769,59305,59419,short,1712.26,1726.5,loss,-145.7000000000001,210.00211199999984,15,1614787200000000000,1615392000000000000,XAUUSD_H8
7833,59794,59908,long,1726.1,1738.43,win,120.00000000000155,196.4667599999998,15,1617580800000000000,1618185600000000000,XAUUSD_H8
7923,60478,60539,long,1842.87,1875.3259721808,win,321.25972180800017,157.70637599999998,8,1621209600000000000,1621440000000000000,XAUUSD_H8
7994,61014,61128,short,1785.42,1774.81,win,102.80000000000128,174.55528800000005,15,1623945600000000000,1624550400000000000,XAUUSD_H8
8018,61196,61219,short,1754.57,1771.7942792,loss,-175.54279199999957,172.24279200000012,3,1624982400000000000,1625068800000000000,XAUUSD_H8
8111,61899,61945,long,1744.63,1777.7516726176002,win,327.91672617600096,160.94107200000013,6,1628697600000000000,1628870400000000000,XAUUSD_H8
8118,61952,62066,long,1779.3,1787.61,win,79.79999999999946,159.1475520000001,15,1629072000000000000,1629676800000000000,XAUUSD_H8
8213,62670,62685,short,1730.21,1744.7670224,loss,-148.87022400000052,145.57022399999985,2,1632844800000000000,1632902400000000000,XAUUSD_H8
