entry_bar,exit_bar,pnl_pip,outcome,sl_pip,tp_pip,exit_kind,direction
21360,21364,-29.29999999999909,loss,160.52000000000058,160.52000000000058,0,long
21455,21459,26.200000000000454,win,160.52000000000058,160.52000000000058,0,long
21549,21553,-101.29999999999954,loss,160.52000000000058,160.52000000000058,0,long
22286,22290,13.200000000000909,win,160.52000000000058,160.52000000000058,0,long
22376,22380,41.600000000000094,win,160.52000000000058,160.52000000000058,0,long
22430,22434,10.900000000000727,win,160.52000000000058,160.52000000000058,0,long
22472,22476,-48.00000000000027,loss,160.52000000000058,160.52000000000058,0,long
22505,22509,15.699999999998635,win,160.52000000000058,160.52000000000058,0,long
22771,22775,-42.400000000000816,loss,160.52000000000058,160.52000000000058,0,long
22817,22821,24.2,win,160.52000000000058,160.52000000000058,0,long
22920,22924,39.100000000000094,win,160.52000000000058,160.52000000000058,0,long
22989,22993,2.200000000001819,win,160.52000000000058,160.52000000000058,0,long
22995,22999,4.299999999999909,win,160.52000000000058,160.52000000000058,0,long
23016,23020,-7.7000000000005455,loss,160.52000000000058,160.52000000000058,0,long
23023,23027,19.499999999999726,win,160.52000000000058,160.52000000000058,0,long
23068,23072,-1.800000000001364,loss,160.52000000000058,160.52000000000058,0,long
23074,23078,6.500000000000182,win,160.52000000000058,160.52000000000058,0,long
23080,23084,-50.50000000000027,loss,160.52000000000058,160.52000000000058,0,long
23098,23102,14.700000000001818,win,160.52000000000058,160.52000000000058,0,long
23105,23109,-43.900000000001725,loss,160.52000000000058,160.52000000000058,0,long
23199,23203,-51.19999999999963,loss,160.52000000000058,160.52000000000058,0,long
23306,23310,-93.00000000000027,loss,160.52000000000058,160.52000000000058,0,long
23402,23406,-77.80000000000045,loss,160.52000000000058,160.52000000000058,0,long
23495,23499,23.400000000000727,win,160.52000000000058,160.52000000000058,0,long
23591,23595,29.599999999999635,win,160.52000000000058,160.52000000000058,0,long
23774,23778,40.400000000001185,win,160.52000000000058,160.52000000000058,0,long
24046,24050,11.500000000000181,win,160.52000000000058,160.52000000000058,0,long
24525,24529,97.799999999999,win,160.52000000000058,160.52000000000058,0,long
24587,24591,6.7,win,160.52000000000058,160.52000000000058,0,long
24592,24596,-19.59999999999882,loss,160.52000000000058,160.52000000000058,0,long
24659,24663,20.600000000001,win,160.52000000000058,160.52000000000058,0,long
24702,24706,43.50000000000064,win,160.52000000000058,160.52000000000058,0,long
24892,24896,16.100000000000545,win,160.52000000000058,160.52000000000058,0,long
24986,24990,0.4000000000011825,win,160.52000000000058,160.52000000000058,0,long
25166,25170,-60.499999999997996,loss,160.52000000000058,160.52000000000058,0,long
25233,25237,-3.699999999999636,loss,160.52000000000058,160.52000000000058,0,long
25242,25246,-51.300000000001816,loss,160.52000000000058,160.52000000000058,0,long
25348,25352,72.99999999999882,win,160.52000000000058,160.52000000000058,0,long
25443,25447,-5.600000000000182,loss,160.52000000000058,160.52000000000058,0,long
25528,25532,-40.29999999999818,loss,160.52000000000058,160.52000000000058,0,long
25612,25616,-69.19999999999918,loss,160.52000000000058,160.52000000000058,0,long
25815,25819,-54.80000000000091,loss,160.52000000000058,160.52000000000058,0,long
26001,26005,-21.699999999999182,loss,160.52000000000058,160.52000000000058,0,long
26007,26011,24.399999999999817,win,160.52000000000058,160.52000000000058,0,long
26829,26831,-163.8200000000006,loss,160.52000000000058,160.52000000000058,2,long
27010,27014,82.40000000000164,win,160.52000000000058,160.52000000000058,0,long
27108,27112,1.6000000000000911,win,160.52000000000058,160.52000000000058,0,long
27194,27198,21.200000000000454,win,160.52000000000058,160.52000000000058,0,long
27478,27482,9.799999999999454,win,160.52000000000058,160.52000000000058,0,long
