entry_bar,exit_bar,pnl_pip,outcome,sl_pip,tp_pip,exit_kind,direction,t_entry,t_exit,src_card
395245,395249,-24.600000000001092,loss,160.52000000000058,160.52000000000058,0,long,1655919000000000000,1655922600000000000,XAUUSD-M15
396107,396111,73.60000000000055,win,160.52000000000058,160.52000000000058,0,long,1656694800000000000,1656698400000000000,XAUUSD-M15
396501,396505,-13.599999999999728,loss,160.52000000000058,160.52000000000058,0,long,1657049400000000000,1657053000000000000,XAUUSD-M15
396587,396591,-163.8200000000006,loss,160.52000000000058,160.52000000000058,2,long,1657126800000000000,1657130400000000000,XAUUSD-M15
396782,396786,-58.599999999999724,loss,160.52000000000058,160.52000000000058,0,long,1657302300000000000,1657305900000000000,XAUUSD-M15
397257,397261,104.2,win,160.52000000000058,160.52000000000058,0,long,1657729800000000000,1657733400000000000,XAUUSD-M15
397348,397352,-70.30000000000045,loss,160.52000000000058,160.52000000000058,0,long,1657811700000000000,1657815300000000000,XAUUSD-M15
397353,397361,83.49999999999837,win,307.89599999999876,307.89599999999876,0,long,1657816200000000000,1657823400000000000,XAUUSD-M30
397448,397452,-8.799999999999546,loss,160.52000000000058,160.52000000000058,0,long,1657901700000000000,1657905300000000000,XAUUSD-M15
397453,397461,-0.10000000000063647,loss,307.89599999999876,307.89599999999876,0,long,1657906200000000000,1657913400000000000,XAUUSD-M30
398025,398029,61.500000000000185,win,160.52000000000058,160.52000000000058,0,long,1658421000000000000,1658424600000000000,XAUUSD-M15
398698,398702,35.69999999999864,win,160.52000000000058,160.52000000000058,0,long,1659026700000000000,1659030300000000000,XAUUSD-M15
399186,399190,-22.200000000001,loss,160.52000000000058,160.52000000000058,0,long,1659465900000000000,1659469500000000000,XAUUSD-M15
403409,403413,-56.39999999999945,loss,160.52000000000058,160.52000000000058,0,long,1663266600000000000,1663270200000000000,XAUUSD-M15
403500,403504,-24.90000000000082,loss,160.52000000000058,160.52000000000058,0,long,1663348500000000000,1663352100000000000,XAUUSD-M15
403998,404002,-137.40000000000083,loss,160.52000000000058,160.52000000000058,0,long,1663796700000000000,1663800300000000000,XAUUSD-M15
404052,404056,-10.8,loss,160.52000000000058,160.52000000000058,0,long,1663845300000000000,1663848900000000000,XAUUSD-M15
404067,404075,26.50000000000018,win,307.89599999999876,307.89599999999876,0,long,1663858800000000000,1663866000000000000,XAUUSD-M30
404162,404166,-19.099999999999273,loss,160.52000000000058,160.52000000000058,0,long,1663944300000000000,1663947900000000000,XAUUSD-M15
404167,404175,-64.700000000001,loss,307.89599999999876,307.89599999999876,0,long,1663948800000000000,1663956000000000000,XAUUSD-M30
404521,404529,10.100000000001454,win,307.89599999999876,307.89599999999876,0,long,1664267400000000000,1664274600000000000,XAUUSD-M30
404553,404561,-54.000000000001634,loss,307.89599999999876,307.89599999999876,0,long,1664296200000000000,1664303400000000000,XAUUSD-M30
404643,404651,144.59999999999962,win,307.89599999999876,307.89599999999876,0,long,1664377200000000000,1664384400000000000,XAUUSD-M30
404741,404749,36.20000000000046,win,307.89599999999876,307.89599999999876,0,long,1664465400000000000,1664472600000000000,XAUUSD-M30
404843,404847,19.00000000000018,win,160.52000000000058,160.52000000000058,0,long,1664557200000000000,1664560800000000000,XAUUSD-M15
