entry_bar,exit_bar,outcome,pnl_pip,sl_pip,tp_pip,direction,t_entry,t_exit,src_card
2305,2320,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1347580800000000000,1347904800000000000,XAUUSD-H6
2336,2345,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1348250400000000000,1348444800000000000,XAUUSD-H6
2360,2407,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1348768800000000000,1349784000000000000,XAUUSD-H6
2588,2607,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1353693600000000000,1354104000000000000,XAUUSD-H6
2826,2834,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1358834400000000000,1359007200000000000,XAUUSD-H6
3060,3075,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1363888800000000000,1364212800000000000,XAUUSD-H6
3649,3679,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1376611200000000000,1377259200000000000,XAUUSD-H6
3680,3695,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1377280800000000000,1377604800000000000,XAUUSD-H6
3698,3701,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1377669600000000000,1377734400000000000,XAUUSD-H6
3928,3954,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1382637600000000000,1383199200000000000,XAUUSD-H6
4277,4283,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1390176000000000000,1390305600000000000,XAUUSD-H6
4292,4319,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1390500000000000000,1391083200000000000,XAUUSD-H6
4363,4375,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1392033600000000000,1392292800000000000,XAUUSD-H6
4376,4389,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1392314400000000000,1392595200000000000,XAUUSD-H6
4419,4436,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1393243200000000000,1393610400000000000,XAUUSD-H6
4446,4463,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1393826400000000000,1394193600000000000,XAUUSD-H6
4482,4491,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1394604000000000000,1394798400000000000,XAUUSD-H6
4492,4504,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1394820000000000000,1395079200000000000,XAUUSD-H6
4880,4963,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1403200800000000000,1404993600000000000,XAUUSD-H6
5352,5383,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1413396000000000000,1414065600000000000,XAUUSD-H6
5541,5555,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1417478400000000000,1417780800000000000,XAUUSD-H6
5572,5583,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1418148000000000000,1418385600000000000,XAUUSD-H6
5709,5719,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1421107200000000000,1421323200000000000,XAUUSD-H6
5720,5738,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1421344800000000000,1421733600000000000,XAUUSD-H6
