signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held,bar_dt
776934,776935,776942,long,1995.91,1996.48,win,2.3999999999993635,80.0,7,2022-03-07 20:45:00
776983,776984,776988,long,1998.88,1999.21,loss,-7.274181257344026e-13,80.0,4,2022-03-08 01:50:00
777057,777058,777061,long,1996.39,1999.13,win,24.10000000000009,80.0,3,2022-03-08 08:00:00
777132,777133,777135,long,2010.61,2012.75,win,18.100000000001,80.0,2,2022-03-08 14:15:00
777180,777181,777183,long,2058.78,2060.13,win,10.19999999999909,80.0,2,2022-03-08 18:15:00
777230,777231,777233,long,2047.76,2049.9500000000003,win,18.60000000000282,80.0,2,2022-03-08 22:25:00
777288,777289,777291,long,2045.99,2048.2000000000003,win,18.800000000002637,80.0,2,2022-03-09 04:15:00
777658,777659,777661,long,1988.63,1995.8000000000002,win,68.40000000000073,80.0,2,2022-03-10 12:05:00
777707,777708,777710,long,1999.49,2001.69,win,18.700000000000454,80.0,2,2022-03-10 16:10:00
777777,777778,777780,long,1997.33,1999.8700000000001,win,22.10000000000191,80.0,2,2022-03-10 22:00:00
778054,778055,778062,long,1987.24,1986.69,loss,-8.799999999999546,80.0,7,2022-03-11 22:05:00
778755,778756,778758,long,1921.57,1922.23,win,3.3000000000008187,80.0,2,2022-03-16 11:30:00
778872,778873,778875,long,1920.81,1922.8100000000002,win,16.700000000002273,80.0,2,2022-03-16 21:15:00
778929,778930,778932,long,1928.3,1927.75,loss,-8.799999999999546,80.0,2,2022-03-17 03:00:00
778982,778983,778985,long,1934.8,1934.8600000000001,loss,-2.699999999998272,80.0,2,2022-03-17 07:25:00
779030,779031,779034,long,1937.43,1941.72,win,39.59999999999964,80.0,3,2022-03-17 11:25:00
779079,779080,779082,long,1941.44,1943.48,win,17.099999999999635,80.0,2,2022-03-17 15:30:00
779127,779128,779155,long,1943.9,1935.9,loss,-83.3,80.0,27,2022-03-17 19:30:00
779191,779192,779194,long,1943.04,1943.5400000000002,win,1.700000000002274,80.0,2,2022-03-18 01:50:00
