n,wr,be,lift,z,sl_pip,tp_pip,net_pip,tf,ind,thr,mode,sl_atr,tp_atr
5003,49.01,50.0,-0.99,-1.4,10.2,10.2,-17519.7,M5,reflex,2.1,reversion,1.31,1.31
4998,44.38,44.74,-0.36,-0.51,10.2,12.6,-16902.6,M5,reflex,2.1,reversion,1.31,1.62
4963,49.99,50.0,-0.01,-0.01,14.6,14.6,-16392.5,M5,reflex,2.1,reversion,1.87,1.87
4934,45.32,45.48,-0.16,-0.23,14.6,17.5,-16543.0,M5,reflex,2.1,reversion,1.87,2.24
7112,48.45,50.0,-1.55,-2.61,19.1,19.1,-27671.6,M15,trendflex,0.83,continuation,1.31,1.31
6976,43.36,44.73,-1.37,-2.3,19.1,23.6,-27094.9,M15,trendflex,0.83,continuation,1.31,1.62
6457,48.77,50.0,-1.23,-1.98,27.3,27.3,-25648.8,M15,trendflex,0.83,continuation,1.87,1.87
6227,44.63,45.5,-0.87,-1.38,27.3,32.7,-23806.2,M15,trendflex,0.83,continuation,1.87,2.24
7112,49.51,50.0,-0.49,-0.83,19.1,19.1,-24806.6,M15,trendflex,0.83,reversion,1.31,1.31
6953,44.74,44.73,0.01,0.02,19.1,23.6,-22907.5,M15,trendflex,0.83,reversion,1.31,1.62
6457,50.27,50.0,0.27,0.44,27.3,27.3,-20352.6,M15,trendflex,0.83,reversion,1.87,1.87
6174,45.8,45.5,0.3,0.48,27.3,32.7,-19244.4,M15,trendflex,0.83,reversion,1.87,2.24
5447,48.47,50.0,-1.53,-2.26,19.1,19.1,-21164.8,M15,trendflex,1.17,continuation,1.31,1.31
5373,44.07,44.73,-0.66,-0.97,19.1,23.6,-19241.6,M15,trendflex,1.17,continuation,1.31,1.62
5170,50.44,50.0,0.44,0.64,27.3,27.3,-15805.2,M15,trendflex,1.17,continuation,1.87,1.87
5030,46.24,45.5,0.74,1.06,27.3,32.7,-14358.0,M15,trendflex,1.17,continuation,1.87,2.24
5447,49.4,50.0,-0.6,-0.88,19.1,19.1,-19216.6,M15,trendflex,1.17,reversion,1.31,1.31
5405,44.29,44.73,-0.44,-0.65,19.1,23.6,-18848.2,M15,trendflex,1.17,reversion,1.31,1.62
5170,48.59,50.0,-1.41,-2.03,27.3,27.3,-21046.8,M15,trendflex,1.17,reversion,1.87,1.87
5058,44.74,45.5,-0.76,-1.08,27.3,32.7,-18994.8,M15,trendflex,1.17,reversion,1.87,2.24
