tf,sigset,thr,sl_atr,tp_atr,sl_pip,tp_pip,n,wr,be,lift,z,net_pip
H4,reflex,1.17,1.87,2.24,119.8,143.6,500,49.4,45.48,3.92,1.76,2108.8
H4,reflex,1.17,1.87,2.61,119.8,167.3,487,45.59,41.73,3.86,1.73,36.5
H4,reflex,1.17,1.53,1.91,98.1,122.4,534,45.69,44.49,1.2,0.56,-1199.9
H4,reflex,1.17,2.23,2.68,142.9,171.7,466,48.71,45.42,3.29,1.43,1020.3
H4,reflex,1.38,1.87,1.87,119.8,119.8,410,53.9,50.0,3.9,1.58,1406.0
H4,reflex,1.38,1.87,2.24,119.8,143.6,403,50.87,45.48,5.39,2.17,1930.4
H4,reflex,1.38,1.87,2.61,119.8,167.3,391,46.29,41.73,4.56,1.83,-906.2
H4,reflex,1.38,1.53,1.91,98.1,122.4,420,47.38,44.49,2.89,1.19,-127.5
H4,reflex,1.38,2.23,2.68,142.9,171.7,378,49.74,45.42,4.31,1.68,722.1
H4,reflex,1.61,1.87,1.87,119.8,119.8,286,52.8,50.0,2.8,0.95,1103.2
H4,reflex,1.61,1.87,2.24,119.8,143.6,281,49.47,45.48,3.98,1.34,1376.0
H4,reflex,1.61,1.87,2.61,119.8,167.3,278,46.4,41.73,4.68,1.58,943.2
H4,reflex,1.61,1.53,1.91,98.1,122.4,288,47.22,44.49,2.73,0.93,405.6
H4,reflex,1.61,2.23,2.68,142.9,171.7,272,50.74,45.42,5.31,1.76,1874.7
H4,reflex,1.83,1.87,1.87,119.8,119.8,182,51.1,50.0,1.1,0.3,-144.0
H4,reflex,1.83,1.87,2.24,119.8,143.6,182,47.25,45.48,1.77,0.48,-331.7
H4,reflex,1.83,1.87,2.61,119.8,167.3,179,44.69,41.73,2.97,0.8,-194.9
H4,reflex,1.83,1.53,1.91,98.1,122.4,183,44.81,44.49,0.32,0.09,-854.3
H4,reflex,1.83,2.23,2.68,142.9,171.7,177,49.15,45.42,3.73,1.0,702.0
H4,reflex,2.07,1.87,1.87,119.8,119.8,100,55.0,50.0,5.0,1.0,947.8
H4,reflex,2.07,1.87,2.24,119.8,143.6,100,50.0,45.48,4.52,0.91,652.5
H4,reflex,2.07,1.87,2.61,119.8,167.3,100,49.0,41.73,7.27,1.47,1013.6
H4,reflex,2.07,1.53,1.91,98.1,122.4,100,49.0,44.49,4.51,0.91,446.7
H4,reflex,2.07,2.23,2.68,142.9,171.7,100,51.0,45.42,5.58,1.12,1064.3
H4,union,0.97,1.87,1.87,119.8,119.8,789,50.32,50.0,0.32,0.18,-2321.4
