tf,sig,sl_atr,tp_atr,sl,tp,n,alpha,z_alpha,two_sided,net,L,S
H1,er18@0.53,2.23,2.68,92.6,111.3,383,6.83,2.68,True,3785.8,"(205, 57.56, 10.91, np.float64(3.13))","(178, 46.07, 2.13, np.float64(0.57))"
H1,er18@0.53,1.53,1.91,63.5,79.3,432,6.83,2.87,True,1768.7,"(237, 53.59, 9.34, np.float64(2.9))","(195, 45.64, 3.78, np.float64(1.07))"
H1,er29@0.31,1.87,1.87,77.7,77.7,562,2.79,1.32,True,83.2,"(317, 53.0, 2.34, np.float64(0.83))","(245, 51.43, 3.37, np.float64(1.05))"
H1,er29@0.31,1.87,2.24,77.7,93.0,539,2.91,1.36,True,283.5,"(302, 49.01, 2.5, np.float64(0.87))","(237, 46.84, 3.44, np.float64(1.07))"
H1,er29@0.31,2.23,2.68,92.6,111.3,503,2.87,1.3,True,796.6,"(278, 50.36, 3.71, np.float64(1.24))","(225, 45.78, 1.84, np.float64(0.56))"
H1,er29@0.31,1.53,1.91,63.5,79.3,583,2.91,1.42,True,-604.1,"(334, 44.91, 0.67, np.float64(0.24))","(249, 47.79, 5.93, np.float64(1.9))"
H1,er29@0.42,1.87,1.87,77.7,77.7,330,1.08,0.39,False,-734.4,"(186, 54.3, 3.64, np.float64(0.99))","(144, 45.83, -2.23, np.float64(-0.54))"
H1,er29@0.42,1.87,2.24,77.7,93.0,321,0.64,0.23,False,-800.7,"(181, 49.17, 2.66, np.float64(0.72))","(140, 41.43, -1.97, np.float64(-0.47))"
H1,er29@0.42,2.23,2.68,92.6,111.3,307,1.12,0.39,True,-120.1,"(172, 47.67, 1.02, np.float64(0.27))","(135, 45.19, 1.25, np.float64(0.29))"
H1,er29@0.42,1.53,1.91,63.5,79.3,335,2.78,1.02,True,-410.2,"(187, 49.2, 4.95, np.float64(1.36))","(148, 41.89, 0.03, np.float64(0.01))"
H1,er29@0.53,1.87,1.87,77.7,77.7,148,5.66,1.38,True,573.0,"(96, 52.08, 1.42, np.float64(0.28))","(52, 61.54, 13.48, np.float64(1.94))"
H1,er29@0.53,1.87,2.24,77.7,93.0,142,3.86,0.93,False,260.4,"(93, 46.24, -0.27, np.float64(-0.05))","(49, 55.1, 11.7, np.float64(1.65))"
H1,er29@0.53,2.23,2.68,92.6,111.3,136,0.61,0.14,False,-374.4,"(89, 43.82, -2.83, np.float64(-0.54))","(47, 51.06, 7.13, np.float64(0.98))"
H1,er29@0.53,1.53,1.91,63.5,79.3,149,7.58,1.87,True,781.9,"(98, 48.98, 4.73, np.float64(0.94))","(51, 54.9, 13.04, np.float64(1.89))"
H1,er47@0.31,1.87,1.87,77.7,77.7,336,-3.49,-1.28,False,-3142.3,"(202, 50.0, -0.66, np.float64(-0.19))","(134, 40.3, -7.76, np.float64(-1.8))"
H1,er47@0.31,1.87,2.24,77.7,93.0,326,-2.93,-1.06,False,-2954.7,"(195, 47.18, 0.67, np.float64(0.19))","(131, 35.11, -8.29, np.float64(-1.91))"
H1,er47@0.31,2.23,2.68,92.6,111.3,302,-1.5,-0.53,False,-1873.0,"(178, 48.88, 2.22, np.float64(0.59))","(124, 37.1, -6.84, np.float64(-1.54))"
H1,er47@0.31,1.53,1.91,63.5,79.3,344,-1.15,-0.44,False,-2365.0,"(208, 46.15, 1.91, np.float64(0.55))","(136, 36.03, -5.83, np.float64(-1.38))"
H1,er47@0.42,1.87,1.87,77.7,77.7,126,1.08,0.24,False,-385.6,"(80, 52.5, 1.84, np.float64(0.33))","(46, 47.83, -0.24, np.float64(-0.03))"
H1,er47@0.42,1.87,2.24,77.7,93.0,121,0.9,0.2,False,-312.3,"(77, 48.05, 1.54, np.float64(0.27))","(44, 43.18, -0.22, np.float64(-0.03))"
H1,er47@0.42,2.23,2.68,92.6,111.3,113,-1.42,-0.3,False,-576.3,"(72, 45.83, -0.82, np.float64(-0.14))","(41, 41.46, -2.48, np.float64(-0.32))"
H1,er47@0.42,1.53,1.91,63.5,79.3,127,6.24,1.42,True,384.4,"(80, 51.25, 7.0, np.float64(1.26))","(47, 46.81, 4.95, np.float64(0.69))"
