signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held,bar_dt
44650,44651,44655,long,1204.53,1206.0500000000002,win,11.900000000002091,80.0,4,2018-08-29 12:00:00
44716,44717,44719,long,1202.2,1203.18,win,6.500000000000182,80.0,2,2018-09-03 10:00:00
44782,44783,44785,long,1202.87,1205.2800000000002,win,20.80000000000309,80.0,2,2018-09-06 11:00:00
44862,44863,44865,long,1198.02,1197.69,loss,-6.599999999999272,80.0,2,2018-09-11 23:00:00
44918,44919,44925,long,1207.65,1199.65,loss,-83.3,80.0,6,2018-09-14 10:00:00
44966,44967,44969,long,1200.07,1201.67,win,12.700000000001364,80.0,2,2018-09-18 13:00:00
45014,45015,45017,long,1206.99,1207.7800000000002,win,4.60000000000191,80.0,2,2018-09-20 15:00:00
45081,45082,45084,long,1201.3,1202.1000000000001,win,4.700000000001819,80.0,2,2018-09-25 14:00:00
45196,45197,45199,long,1197.9,1206.8400000000001,win,86.10000000000055,80.0,2,2018-10-02 15:00:00
45244,45245,45266,long,1203.79,1204.27,win,1.500000000000182,80.0,21,2018-10-04 17:00:00
45341,45342,45344,long,1194.22,1193.68,loss,-8.699999999999637,80.0,2,2018-10-10 23:00:00
45396,45397,45399,long,1227.13,1232.5900000000001,win,51.30000000000037,80.0,2,2018-10-15 10:00:00
45447,45448,45450,long,1227.05,1228.8100000000002,win,14.300000000002182,80.0,2,2018-10-17 15:00:00
45533,45534,45536,long,1232.02,1235.89,win,35.400000000001185,80.0,2,2018-10-23 10:00:00
45602,45603,45605,long,1236.29,1237.89,win,12.700000000001364,80.0,2,2018-10-26 10:00:00
45694,45695,45699,long,1225.73,1230.02,win,39.59999999999964,80.0,4,2018-11-01 10:00:00
45762,45763,45765,long,1233.87,1235.24,win,10.400000000001182,80.0,2,2018-11-06 10:00:00
45933,45934,45939,long,1214.29,1216.0400000000002,win,14.200000000002273,80.0,5,2018-11-15 21:00:00
45990,45991,45994,long,1224.79,1224.25,loss,-8.699999999999637,80.0,3,2018-11-20 10:00:00
46038,46039,46041,long,1227.94,1228.1000000000001,loss,-1.6999999999991813,80.0,2,2018-11-22 12:00:00
46100,46101,46103,long,1223.93,1223.99,loss,-2.7000000000005455,80.0,2,2018-11-27 12:00:00
46148,46149,46151,long,1226.57,1226.93,win,0.30000000000127347,80.0,2,2018-11-29 14:00:00
46196,46197,46199,long,1232.94,1233.77,win,4.999999999999273,80.0,2,2018-12-03 17:00:00
46244,46245,46250,long,1238.36,1237.8200000000002,loss,-8.699999999997363,80.0,5,2018-12-05 19:00:00
46292,46293,46295,long,1249.65,1249.8000000000002,loss,-1.7999999999990903,80.0,2,2018-12-07 21:00:00
46355,46356,46358,long,1245.82,1245.64,loss,-5.099999999998363,80.0,2,2018-12-12 16:00:00
46419,46420,46422,long,1239.73,1239.5600000000002,loss,-4.999999999998454,80.0,2,2018-12-17 12:00:00
46469,46470,46472,long,1255.68,1256.0600000000002,win,0.5000000000010916,80.0,2,2018-12-19 16:00:00
46537,46538,46540,long,1266.24,1267.8500000000001,win,12.800000000001273,80.0,2,2018-12-24 16:00:00
46608,46609,46611,long,1279.83,1279.8600000000001,loss,-2.999999999997999,80.0,2,2018-12-28 22:00:00
46673,46674,46676,long,1291.07,1294.24,win,28.400000000000727,80.0,2,2019-01-03 20:00:00
46740,46741,46748,long,1286.33,1286.3500000000001,loss,-3.099999999997908,80.0,7,2019-01-08 19:00:00
46822,46823,46825,long,1293.67,1294.95,win,9.499999999999726,80.0,2,2019-01-14 10:00:00
46874,46875,46877,long,1292.46,1294.22,win,14.299999999999908,80.0,2,2019-01-16 16:00:00
46978,46979,47001,long,1286.27,1278.27,loss,-83.3,80.0,22,2019-01-23 10:00:00
47027,47028,47030,long,1284.52,1288.8200000000002,win,39.70000000000182,80.0,2,2019-01-25 13:00:00
47076,47077,47081,long,1310.86,1311.2800000000002,win,0.9000000000030015,80.0,4,2019-01-29 17:00:00
47140,47141,47143,long,1321.32,1321.2,loss,-4.499999999998908,80.0,2,2019-02-01 12:00:00
47195,47196,47199,long,1315.16,1315.0400000000002,loss,-4.499999999998908,80.0,3,2019-02-05 22:00:00
47254,47255,47258,long,1311.12,1314.41,win,29.60000000000191,80.0,3,2019-02-08 12:00:00
47327,47328,47331,long,1314.39,1306.39,loss,-83.3,80.0,3,2019-02-13 17:00:00
47376,47377,47379,long,1320.64,1321.8400000000001,win,8.700000000000454,80.0,2,2019-02-15 20:00:00
47481,47482,47484,long,1328.73,1330.0500000000002,win,9.900000000001636,80.0,2,2019-02-22 15:00:00
47532,47533,47536,long,1329.2,1328.75,loss,-7.800000000000455,80.0,3,2019-02-26 21:00:00
47714,47715,47717,long,1299.14,1299.95,win,4.7999999999994545,80.0,2,2019-03-08 20:00:00
47773,47774,47776,long,1306.54,1308.45,win,15.800000000000818,80.0,2,2019-03-13 10:00:00
47821,47822,47824,long,1303.06,1303.8300000000002,win,4.400000000002092,80.0,2,2019-03-15 12:00:00
47869,47870,47872,long,1308.38,1309.93,win,12.199999999999545,80.0,2,2019-03-19 14:00:00
47933,47934,47936,long,1312.51,1313.2,win,3.600000000000546,80.0,2,2019-03-22 09:00:00
48004,48005,48007,long,1317.81,1318.3700000000001,win,2.300000000001728,80.0,2,2019-03-27 11:00:00
48185,48186,48188,long,1297.11,1297.14,loss,-2.999999999997999,80.0,2,2019-04-08 10:00:00
48237,48238,48240,long,1305.67,1308.43,win,24.29999999999991,80.0,2,2019-04-10 16:00:00
48466,48467,48483,long,1281.84,1281.52,loss,-6.499999999999363,80.0,16,2019-04-25 16:00:00
48528,48529,48531,long,1283.58,1284.73,win,8.200000000000909,80.0,2,2019-04-30 10:00:00
48603,48604,48606,long,1278.21,1281.89,win,33.50000000000064,80.0,2,2019-05-03 16:00:00
48651,48652,48654,long,1284.11,1285.3400000000001,win,9.000000000002455,80.0,2,2019-05-07 19:00:00
48714,48715,48717,long,1285.85,1288.0900000000001,win,19.100000000002364,80.0,2,2019-05-10 13:00:00
48780,48781,48784,long,1298.77,1298.45,loss,-6.499999999999363,80.0,3,2019-05-15 11:00:00
48921,48922,48924,long,1282.71,1285.73,win,26.899999999999817,80.0,2,2019-05-23 15:00:00
49004,49005,49010,long,1284.91,1284.88,loss,-3.599999999999727,80.0,5,2019-05-29 10:00:00
49052,49053,49056,long,1298.77,1298.5500000000002,loss,-5.499999999997999,80.0,3,2019-05-31 12:00:00
49120,49121,49123,long,1337.76,1337.99,loss,-0.9999999999998179,80.0,2,2019-06-05 12:00:00
49168,49169,49171,long,1335.53,1343.72,win,78.60000000000055,80.0,2,2019-06-07 14:00:00
49232,49233,49235,long,1337.35,1337.25,loss,-4.29999999999909,80.0,2,2019-06-12 10:00:00
49280,49281,49283,long,1354.15,1353.97,loss,-5.1000000000006365,80.0,2,2019-06-14 12:00:00
49328,49329,49329,long,1351.71,1343.71,loss,-83.3,80.0,0,2019-06-18 15:00:00
49376,49377,49379,long,1382.88,1390.2800000000002,win,70.70000000000091,80.0,2,2019-06-20 17:00:00
49425,49426,49428,long,1419.19,1420.8000000000002,win,12.800000000001273,80.0,2,2019-06-24 21:00:00
49496,49497,49499,long,1409.78,1411.42,win,13.100000000001,80.0,2,2019-06-27 23:00:00
49552,49553,49555,long,1393.6,1393.0500000000002,loss,-8.799999999997272,80.0,2,2019-07-02 11:00:00
49638,49639,49641,long,1406.42,1405.8300000000002,loss,-9.199999999999182,80.0,2,2019-07-08 10:00:00
