signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held,t_entry,t_exit,src_card
2444,13589,13621,long,1752.44,1767.35255,win,145.8255000000001,149.12549999999985,8,1592812800000000000,1592928000000000000,H4-long
2512,13961,13981,long,1795.83,1810.74255,win,145.8255000000001,149.12549999999985,5,1594152000000000000,1594224000000000000,H4-long
2570,14289,14289,long,1823.92,1838.83255,win,145.8255000000001,149.12549999999985,0,1595332800000000000,1595332800000000000,H4-long
2582,14337,14341,long,1882.33,1897.24255,win,145.8255000000001,149.12549999999985,1,1595505600000000000,1595520000000000000,H4-long
2584,14345,14421,long,1893.7,1908.61255,win,145.8255000000001,149.12549999999985,7,1595534400000000000,1595808000000000000,H4-long
2593,14429,14445,long,1931.89,1946.80255,win,145.8255000000001,149.12549999999985,4,1595836800000000000,1595894400000000000,H4-long
2598,14449,14449,long,1963.92,1949.00745,loss,-152.4255000000001,149.12549999999985,0,1595908800000000000,1595908800000000000,H4-long
1440,15821,15829,short,1887.48,1865.3757,win,217.74299999999965,221.04299999999984,1,1600848000000000000,1600876800000000000,H8-short
2021,16677,16791,short,1875.4,1894.1053000000002,loss,-190.3530000000008,187.0530000000001,11,1603929600000000000,1604340000000000000,H6-short
3032,16861,16861,long,1931.54,1946.45255,win,145.8255000000001,149.12549999999985,0,1604592000000000000,1604592000000000000,H4-long
3038,16885,16885,long,1958.61,1943.69745,loss,-152.4255000000001,149.12549999999985,0,1604678400000000000,1604678400000000000,H4-long
1573,17317,17381,short,1805.73,1783.6257,win,217.74299999999965,221.04299999999984,8,1606233600000000000,1606464000000000000,H8-short
3210,17865,17869,long,1878.62,1893.53255,win,145.8255000000001,149.12549999999985,1,1608206400000000000,1608220800000000000,H4-long
3267,18289,18293,long,1916.67,1931.58255,win,145.8255000000001,149.12549999999985,1,1609732800000000000,1609747200000000000,H4-long
2295,19041,19041,short,1814.33,1795.6246999999998,win,183.75300000000078,187.0530000000001,0,1612440000000000000,1612440000000000000,H6-short
2360,19575,19629,short,1729.89,1748.5953000000002,loss,-190.3530000000008,187.0530000000001,1,1614362400000000000,1614556800000000000,H6-short
1776,19661,19669,short,1714.72,1736.8243,loss,-224.34299999999968,221.04299999999984,1,1614672000000000000,1614700800000000000,H8-short
3701,20729,20745,long,1767.38,1782.2925500000001,win,145.8255000000001,149.12549999999985,4,1618516800000000000,1618574400000000000,H4-long
3706,20749,20833,long,1780.77,1765.85745,loss,-152.4255000000001,149.12549999999985,9,1618588800000000000,1618891200000000000,H4-long
3791,21233,21249,long,1815.7,1830.61255,win,145.8255000000001,149.12549999999985,4,1620331200000000000,1620388800000000000,H4-long
2659,22161,22215,short,1857.94,1839.2347,win,183.75300000000078,187.0530000000001,9,1623672000000000000,1623866400000000000,H6-short
